suite_name,run,host_idx,exp_name,mpc.script_name,mpc.protocol_setup,mpc.domain,mpc.script_args.dataset,network_type,mpc_type,consistency_args.type,mpc_time_s,auditing_overhead_s,auditing_overhead_bytes,global_data_sent_bytes,n_rounds,share_convert_time_s,share_convert_global_bytes,share_input_convert_time_s,share_input_convert_global_bytes,share_input_local_time_s,poly_commit_time_s,poly_commit_global_bytes,sign_time_s,sign_global_bytes,sign_sk_time_s,sign_sk_global_bytes,Unnamed: 0,commitment_train,commitment_model,commitment_prediction_x,commitment_prediction_y,commitment_randomness,trusted_setup,signature_train,signature_modelowner,signature_computer_train,signature_computer_inference,identity_train,identity_modelowner,identity_computer_train,identity_computer_inference,storage_train,storage_inference
inference_3pc,1,0,mal,inference,sy-rep-ring-party,ring_split,adult,lan,mal,sha3s,0.07490825000000001,1.8369548930000001,604175900.0,4153567.9999999995,857,,,,,,,,,,,,12,96,32,32,32,32,0,192,64,64,64,96,32,96,96,416,608
inference_3pc,1,0,sh,inference,semi_honest_3,ring_split,adult,lan,sh,sha3s,0.023633991,0.7495832689999999,21549420.0,58875.0,149,,,,,,,,,,,,12,96,32,32,32,32,0,192,64,64,64,96,32,96,96,416,608
inference_3pc,1,1,mal,inference,sy-rep-ring-party,ring_split,adult,lan,mal,sha3s,0.0749326,1.83695525,604175900.0,4153567.9999999995,857,,,,,,,,,,,,12,96,32,32,32,32,0,192,64,64,64,96,32,96,96,416,608
inference_3pc,1,1,sh,inference,semi_honest_3,ring_split,adult,lan,sh,sha3s,0.023521676000000002,0.7495830309999999,21549420.0,58875.0,148,,,,,,,,,,,,12,96,32,32,32,32,0,192,64,64,64,96,32,96,96,416,608
inference_3pc,1,2,mal,inference,sy-rep-ring-party,ring_split,adult,lan,mal,sha3s,0.07489032,1.836955144,604175900.0,4153567.9999999995,857,,,,,,,,,,,,12,96,32,32,32,32,0,192,64,64,64,96,32,96,96,416,608
inference_3pc,1,2,sh,inference,semi_honest_3,ring_split,adult,lan,sh,sha3s,0.023480912,0.7495842489999999,21549420.0,58875.0,149,,,,,,,,,,,,12,96,32,32,32,32,0,192,64,64,64,96,32,96,96,416,608
inference_3pc_wan,7,0,wan,inference,semi_honest_3,ring_split,adult,wan,sh,sha3s,6.0189157,149.944818658,21549420.0,58875.0,149,,,,,,,,,,,,12,96,32,32,32,32,0,192,64,64,64,96,32,96,96,416,608
inference_3pc_wan,7,1,wan,inference,semi_honest_3,ring_split,adult,wan,sh,sha3s,5.9385497,149.944747302,21549420.0,58875.0,148,,,,,,,,,,,,12,96,32,32,32,32,0,192,64,64,64,96,32,96,96,416,608
inference_3pc_wan,7,2,wan,inference,semi_honest_3,ring_split,adult,wan,sh,sha3s,5.93914163,149.94481091,21549420.0,58875.0,149,,,,,,,,,,,,12,96,32,32,32,32,0,192,64,64,64,96,32,96,96,416,608
inference_3pc_wan,25,0,wan,inference,sy-rep-ring-party,ring_split,adult,wan,mal,sha3s,32.196533200000005,170.39676769,604175900.0,4153567.9999999995,857,,,,,,,,,,,,12,96,32,32,32,32,0,192,64,64,64,96,32,96,96,416,608
